# name|return_type|param_name:type,param_name:type
ASN1_PKEY_CTRL_DEFAULT_MD_NID|int|void
ASN1_PKEY_CTRL_PKCS7_ENCRYPT|int|void
ASN1_PKEY_CTRL_PKCS7_SIGN|int|void
ASN1_PKEY_DYNAMIC|int|void
ASN1_PKEY_SIGPARAM_NULL|int|void
ASN1_PRIMITIVE_FUNCS_st|int|param1414092357:int
ASN1_PRINTABLESTRING_free|void|a:int
ASN1_PRINTABLESTRING_new|int|void
ASN1_PRINTABLE_free|void|a:int
ASN1_PRINTABLE_new|int|void
ASN1_PRINTABLE_type|int|s:int,max:int
ASN1_PRINT_ARG_st|int|param1598116423:int
ASN1_R_ADDING_OBJECT|int|void
ASN1_R_ASN1_PARSE_ERROR|int|void
ASN1_R_ASN1_SIG_PARSE_ERROR|int|void
ASN1_R_AUX_ERROR|int|void
ASN1_R_BAD_CLASS|int|void
ASN1_R_BAD_OBJECT_HEADER|int|void
ASN1_R_BAD_PASSWORD_READ|int|void
ASN1_R_BAD_TAG|int|void
ASN1_R_BMPSTRING_IS_WRONG_LENGTH|int|void
ASN1_R_BN_LIB|int|void
ASN1_R_BOOLEAN_IS_WRONG_LENGTH|int|void
ASN1_R_BUFFER_TOO_SMALL|int|void
ASN1_R_CIPHER_HAS_NO_OBJECT_IDENTIFIER|int|void
ASN1_R_CONTEXT_NOT_INITIALISED|int|void
ASN1_R_DATA_IS_WRONG|int|void
ASN1_R_DECODE_ERROR|int|void
ASN1_R_DECODING_ERROR|int|void
ASN1_R_DEPTH_EXCEEDED|int|void
ASN1_R_DIGEST_AND_KEY_TYPE_NOT_SUPPORTED|int|void
ASN1_R_ENCODE_ERROR|int|void
ASN1_R_ERROR_GETTING_TIME|int|void
ASN1_R_ERROR_LOADING_SECTION|int|void
ASN1_R_ERROR_PARSING_SET_ELEMENT|int|void
ASN1_R_ERROR_SETTING_CIPHER_PARAMS|int|void
ASN1_R_EXPECTING_AN_INTEGER|int|void
ASN1_R_EXPECTING_AN_OBJECT|int|void
ASN1_R_EXPECTING_A_BOOLEAN|int|void
ASN1_R_EXPECTING_A_TIME|int|void
ASN1_R_EXPLICIT_LENGTH_MISMATCH|int|void
ASN1_R_EXPLICIT_TAG_NOT_CONSTRUCTED|int|void
ASN1_R_FIELD_MISSING|int|void
ASN1_R_FIRST_NUM_TOO_LARGE|int|void
ASN1_R_HEADER_TOO_LONG|int|void
ASN1_R_ILLEGAL_BITSTRING_FORMAT|int|void
ASN1_R_ILLEGAL_BOOLEAN|int|void
ASN1_R_ILLEGAL_CHARACTERS|int|void
ASN1_R_ILLEGAL_FORMAT|int|void
ASN1_R_ILLEGAL_HEX|int|void
ASN1_R_ILLEGAL_IMPLICIT_TAG|int|void
ASN1_R_ILLEGAL_INTEGER|int|void
ASN1_R_ILLEGAL_NESTED_TAGGING|int|void
ASN1_R_ILLEGAL_NULL_VALUE|int|void
ASN1_R_ILLEGAL_NULL|int|void
ASN1_R_ILLEGAL_OBJECT|int|void
ASN1_R_ILLEGAL_OPTIONAL_ANY|int|void
ASN1_R_ILLEGAL_OPTIONS_ON_ITEM_TEMPLATE|int|void
ASN1_R_ILLEGAL_TAGGED_ANY|int|void
ASN1_R_ILLEGAL_TIME_VALUE|int|void
ASN1_R_INTEGER_NOT_ASCII_FORMAT|int|void
ASN1_R_INTEGER_TOO_LARGE_FOR_LONG|int|void
ASN1_R_INVALID_BIT_STRING_BITS_LEFT|int|void
